Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
Taish,2020,143,"Action, Thriller",7.5,"3,703",Bejoy Nambiar,Jim Sarbh,Harshvardhan Rane,Pulkit Samrat
Footfairy,2020,115,"Crime, Thriller",5,287,Kanishk Varma,Gulshan Devaiah,Sagarika Ghatge,Kunaal Roy Kapur
Hacked,2020,118,Thriller,4.3,"1,208",Vikram Bhatt,Hina Khan,Sid Makkar,Rohan Shah
Halahal,2020,97,"Crime, Drama, Mystery",7.1,"1,441",Randeep Jha,Barun Sobti,Sachin Khedekar,Manu Rishi Chadha
Bulbbul,2020,94,"Drama, Horror, Mystery",6.6,"10,143",Anvita Dutt,Tripti Dimri,Avinash Tiwary,Rahul Bose
Taanashah,2020,101,"Action, Drama",7.3,25,Ritam Srivastav,Dilip Arya,Indraneel Bhattacharya,Shashi Chaturvedi
Bhangra Paa Le,2020,131,"Comedy, Drama, Music",6,287,Sneha Taurani,Sunny Kaushal,Rukshar Dhillon,Shriya Pilgaonkar
Guns of Banaras,2020,134,Action,6.8,41,Shekkhar Suri,Karann Nathh,Nathalia Kaur,Ganesh Venkatraman
Gunjan Saxena The Kargil Girl,2020,112,"Action, Biography, Drama",5.3,"25,005",Sharan Sharma,Janhvi Kapoor,Pankaj Tripathi,Angad Bedi
Street Dancer 3D,2020,146,"Drama, Music",3.6,"5,930",Remo D'Souza,Varun Dhawan,Shraddha Kapoor,Prabhu Deva
Fukrey Boyzzz Space Mein Fukrapanti,2020,74,"Animation, Comedy, Family",8.3,6,Avinash Walzade,Manish Bhavan,Amit Deondi,Ketan Kava
Yeh Ballet,2020,117,Drama,7.6,"1,126",Sooni Taraporevala,Julian Sands,Jim Sarbh,Sarah Jane Dias
Suraj Pe Mangal Bhari,2020,139,Comedy,5.9,"3,011",Abhishek Sharma,Manoj Bajpayee,Fatima Sana Shaikh,Vijay Raaz
Raat Akeli Hai,2020,149,"Crime, Drama, Mystery",7.3,"15,769",Honey Trehan,Nawazuddin Siddiqui,Radhika Apte,Aditya Srivastav
Yahan Sabhi Gyani Hain,2020,115,Comedy,5.1,244,Anant Tripathi,Atul Srivastava,Neeraj Sood,Apoorva Arora
Gulabo Sitabo,2020,124,"Comedy, Drama",6.3,"11,364",Shoojit Sircar,Amitabh Bachchan,Ayushmann Khurrana,Vijay Raaz
Ghoomketu,2020,108,Comedy,5.5,"2,708",Pushpendra Nath Misra,Nawazuddin Siddiqui,Ragini Khanna,Richa Chadha
Ghost Stories,2020,144,"Horror, Thriller",4.3,"4,620",Zoya Akhtar,Dibakar Banerjee,Karan Johar,Anurag Kashyap
Ginny Weds Sunny,2020,125,"Comedy, Drama, Romance",5.7,"3,872",Puneet Khanna,Yami Gautam,Vikrant Massey,Ayesha Raza
Pratibimbo,2020,21,"Crime, Drama, Mystery",7.8,8,Yogesh Ingole,Moumita Goswami,Priyanka Karkera,Abhishail Kharote
Bhoot Part One  The Haunted Ship,2020,114,"Horror, Mystery, Thriller",5.4,"4,236",Bhanu Pratap Singh,Vicky Kaushal,Ashutosh Rana,Meher Vij
Guilty,2020,119,"Drama, Thriller",5.4,"3,919",Ruchi Narain,Kiara Advani,Taher Shabbir,Akansha Ranjan Kapoor
Black Rose,2020,120,Thriller,8.6,38,Hemant N Mishra,Samiksha Bhatnagar,Rahul Chawla,Abhilash Dada
Regards  Peace,2020,89,Thriller,5.5,27,Sanjay Amar,Prashantt Guptha,Flora Saini,Sadhana Singh
Bunker,2020,98,"Drama, War",6.8,82,Jugal Raja,Abhijeet Singh,Arindita Kalita,Gaurav Gupta
